draft_year,rnd,pick,tm,player,pos,g,search_key,id,year_signed,signing_tm,value,value_norm,gtd,gtd_norm
2001,1.0,1.0,ATL,Michael Vick,QB,143.0,"Michael Vick, QB",219,2009.0,Eagles,6875000.0,0.05589430894308943,1500000.0,0.012195121951219513
2001,1.0,1.0,ATL,Michael Vick,QB,143.0,"Michael Vick, QB",219,2015.0,Steelers,970000.0,0.006769960915689559,0.0,0.0
2001,1.0,4.0,CIN,Justin Smith,DE,221.0,"Justin Smith, DE",222,2007.0,Bengals,8644000.0,0.07930275229357799,8644000.0,0.07930275229357799
2001,1.0,4.0,CIN,Justin Smith,DE,221.0,"Justin Smith, DE",222,2001.0,Bengals,19750000.0,0.2930049699577183,7500000.0,0.11126771011052593
2001,1.0,5.0,SDG,LaDainian Tomlinson HOF,RB,170.0,"LaDainian Tomlinson HOF, RB",223,2004.0,Chargers,48000000.0,0.5956665260231814,16540000.0,0.20525675709215457
2001,1.0,5.0,SDG,LaDainian Tomlinson HOF,RB,170.0,"LaDainian Tomlinson HOF, RB",223,2009.0,Chargers,17875000.0,0.14532520325203252,7725000.0,0.06280487804878049
2001,1.0,5.0,SDG,LaDainian Tomlinson HOF,RB,170.0,"LaDainian Tomlinson HOF, RB",223,2001.0,Chargers,15750000.0,0.23366219123210444,11500000.0,0.17061048883613975
2001,1.0,5.0,SDG,LaDainian Tomlinson HOF,RB,170.0,"LaDainian Tomlinson HOF, RB",223,2010.0,Jets,5150000.0,0.04232152028762198,2500000.0,0.02054442732408834
2001,1.0,5.0,SDG,LaDainian Tomlinson HOF,RB,170.0,"LaDainian Tomlinson HOF, RB",223,2011.0,Jets,1325000.0,0.011007268951194185,1125000.0,0.009345794392523364
2001,1.0,16.0,NYJ,Santana Moss,WR,197.0,"Santana Moss, WR",234,2005.0,Commanders,26010000.0,0.3042105263157895,10000000.0,0.11695906432748537
2001,1.0,16.0,NYJ,Santana Moss,WR,197.0,"Santana Moss, WR",234,2011.0,Commanders,15000000.0,0.12461059190031153,6000000.0,0.04984423676012461
2001,1.0,16.0,NYJ,Santana Moss,WR,197.0,"Santana Moss, WR",234,2001.0,Jets,7315520.0,0.10853082115570062,5188000.0,0.07696758400712113
2001,1.0,16.0,NYJ,Santana Moss,WR,197.0,"Santana Moss, WR",234,2013.0,Commanders,2500000.0,0.020226537216828478,0.0,0.0
2001,1.0,16.0,NYJ,Santana Moss,WR,197.0,"Santana Moss, WR",234,2014.0,Commanders,1020000.0,0.007669172932330827,65000.0,0.0004887218045112782
2001,1.0,29.0,STL,Ryan Pickett,DT,207.0,"Ryan Pickett, DT",247,2010.0,Packers,25000000.0,0.2054442732408834,8000000.0,0.0657421674370827
2001,1.0,29.0,STL,Ryan Pickett,DT,207.0,"Ryan Pickett, DT",247,2006.0,Packers,14000000.0,0.13725490196078433,5000000.0,0.049019607843137254
2001,1.0,29.0,STL,Ryan Pickett,DT,207.0,"Ryan Pickett, DT",247,2001.0,Rams,4987000.0,0.07398560937615904,2215000.0,0.03286106371930866
